Channels:	1
Count:	300
Start:	45432.755904	05/20/2024 11:08:30
End:	45432.759364	05/20/2024 11:13:29
Parameters	0	 																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												

Date	Time	Time Stamp	Time from Start	BIO1
05/20/2024	     11:08:30	       45432.755903530	0.000000	       -3.426514e+00	  Started Recording;Started Recording;                                                               
05/20/2024	     11:08:31	       45432.755915104	1.000000	       -3.421828e+00	                                                                                                     
05/20/2024	     11:08:32	       45432.755926678	2.000000	       -3.444072e+00	                                                                                                     
05/20/2024	     11:08:33	       45432.755938252	3.000000	       -3.456772e+00	                                                                                                     
05/20/2024	     11:08:34	       45432.755949826	4.000000	       -3.480767e+00	                                                                                                     
05/20/2024	     11:08:35	       45432.755961400	5.000000	       -3.461729e+00	                                                                                                     
05/20/2024	     11:08:36	       45432.755972975	6.000000	       -3.428067e+00	                                                                                                     
05/20/2024	     11:08:37	       45432.755984549	7.000000	       -3.420940e+00	                                                                                                     
05/20/2024	     11:08:38	       45432.755996123	8.000000	       -3.429892e+00	                                                                                                     
05/20/2024	     11:08:39	       45432.756007697	9.000000	       -3.427623e+00	                                                                                                     
05/20/2024	     11:08:40	       45432.756019271	10.000000	      -3.453172e+00	                                                                                                     
05/20/2024	     11:08:41	       45432.756030845	11.000000	      -3.459337e+00	                                                                                                     
05/20/2024	     11:08:42	       45432.756042419	12.000000	      -3.422075e+00	                                                                                                     
05/20/2024	     11:08:43	       45432.756053993	13.000000	      -3.405330e+00	                                                                                                     
05/20/2024	     11:08:44	       45432.756065567	14.000000	      -3.433394e+00	                                                                                                     
05/20/2024	     11:08:45	       45432.756077141	15.000000	      -3.436131e+00	                                                                                                     
05/20/2024	     11:08:46	       45432.756088715	16.000000	      -3.403826e+00	                                                                                                     
05/20/2024	     11:08:47	       45432.756100289	17.000000	      -3.425330e+00	                                                                                                     
05/20/2024	     11:08:48	       45432.756111863	18.000000	      -3.463579e+00	                                                                                                     
05/20/2024	     11:08:49	       45432.756123438	19.000000	      -3.453714e+00	                                                                                                     
05/20/2024	     11:08:50	       45432.756135012	20.000000	      -3.442001e+00	                                                                                                     
05/20/2024	     11:08:51	       45432.756146586	21.000000	      -3.453221e+00	                                                                                                     
05/20/2024	     11:08:52	       45432.756158160	22.000000	      -3.439535e+00	                                                                                                     
05/20/2024	     11:08:53	       45432.756169734	23.000000	      -3.444319e+00	                                                                                                     
05/20/2024	     11:08:54	       45432.756181308	24.000000	      -3.422371e+00	                                                                                                     
05/20/2024	     11:08:55	       45432.756192882	25.000000	      -3.445798e+00	                                                                                                     
05/20/2024	     11:08:56	       45432.756204456	26.000000	      -3.413591e+00	                                                                                                     
05/20/2024	     11:08:57	       45432.756216030	27.000000	      -3.460693e+00	                                                                                                     
05/20/2024	     11:08:58	       45432.756227604	28.000000	      -3.450730e+00	                                                                                                     
05/20/2024	     11:08:59	       45432.756239178	29.000000	      -3.438375e+00	                                                                                                     
05/20/2024	     11:09:00	       45432.756250752	30.000000	      -3.432432e+00	                                                                                                     
05/20/2024	     11:09:01	       45432.756262326	31.000000	      -3.444171e+00	                                                                                                     
05/20/2024	     11:09:02	       45432.756273900	32.000000	      -3.443308e+00	                                                                                                     
05/20/2024	     11:09:03	       45432.756285475	33.000000	      -3.436279e+00	                                                                                                     
05/20/2024	     11:09:04	       45432.756297049	34.000000	      -3.467475e+00	                                                                                                     
05/20/2024	     11:09:05	       45432.756308623	35.000000	      -3.487549e+00	                                                                                                     
05/20/2024	     11:09:06	       45432.756320197	36.000000	      -3.616721e+00	                                                                                                     
05/20/2024	     11:09:07	       45432.756331771	37.000000	      -3.502419e+00	                                                                                                     
05/20/2024	     11:09:08	       45432.756343345	38.000000	      -3.233865e+00	                                                                                                     
05/20/2024	     11:09:09	       45432.756354919	39.000000	      -3.013472e+00	                                                                                                     
05/20/2024	     11:09:10	       45432.756366493	40.000000	      -2.708913e+00	                                                                                                     
05/20/2024	     11:09:11	       45432.756378067	41.000000	      -2.529260e+00	                                                                                                     
05/20/2024	     11:09:12	       45432.756389641	42.000000	      -2.446770e+00	                                                                                                     
05/20/2024	     11:09:13	       45432.756401215	43.000000	      -2.423910e+00	                                                                                                     
05/20/2024	     11:09:14	       45432.756412789	44.000000	      -2.348768e+00	                                                                                                     
05/20/2024	     11:09:15	       45432.756424363	45.000000	      -2.300803e+00	                                                                                                     
05/20/2024	     11:09:16	       45432.756435938	46.000000	      -2.333454e+00	                                                                                                     
05/20/2024	     11:09:17	       45432.756447512	47.000000	      -2.333701e+00	                                                                                                     
05/20/2024	     11:09:18	       45432.756459086	48.000000	      -2.298880e+00	                                                                                                     
05/20/2024	     11:09:19	       45432.756470660	49.000000	      -2.303763e+00	                                                                                                     
05/20/2024	     11:09:20	       45432.756482234	50.000000	      -2.317819e+00	                                                                                                     
05/20/2024	     11:09:21	       45432.756493808	51.000000	      -2.318115e+00	                                                                                                     
05/20/2024	     11:09:22	       45432.756505382	52.000000	      -2.324700e+00	                                                                                                     
05/20/2024	     11:09:23	       45432.756516956	53.000000	      -2.338016e+00	                                                                                                     
05/20/2024	     11:09:24	       45432.756528530	54.000000	      -2.322110e+00	                                                                                                     
05/20/2024	     11:09:25	       45432.756540104	55.000000	      -2.384576e+00	                                                                                                     
05/20/2024	     11:09:26	       45432.756551678	56.000000	      -2.349558e+00	                                                                                                     
05/20/2024	     11:09:27	       45432.756563252	57.000000	      -2.355846e+00	                                                                                                     
